Diet Type,Breakfast,Lunch,Dinner,Snacks
Mediterranean,"Greek yogurt with honey and walnuts; Whole grain toast with avocado and tomato; Oatmeal with mixed berries and nuts","Grilled chicken salad with mixed greens, cucumbers, tomatoes, olives, and olive oil dressing; Whole grain pita with hummus and a side of carrot sticks; Quinoa salad with chickpeas, feta, and a side of fruit","Grilled salmon with a side of steamed vegetables and brown rice; Whole wheat pasta with tomato sauce, spinach, and a sprinkle of parmesan cheese; Vegetable stir-fry with tofu and a side of whole grain bread","Mixed nuts and dried fruit; Fresh fruit (e.g., apple, orange); Whole grain crackers with cheese"
DASH,"Whole grain cereal with low-fat milk and a banana; Scrambled eggs with spinach and whole grain toast; Smoothie with low-fat yogurt, spinach, and mixed berries","Turkey sandwich on whole grain bread with lettuce, tomato, and mustard; Grilled chicken salad with mixed greens, cucumbers, and low-fat dressing; Brown rice bowl with black beans, corn, salsa, and avocado","Baked chicken breast with roasted sweet potatoes and a side of steamed broccoli; Grilled fish with quinoa and a side of sautéed green beans; Lentil soup with a side of whole grain bread and a mixed greens salad","Low-fat yogurt with fruit; Veggie sticks with hummus; Apple slices with peanut butter"
Ketogenic,"Scrambled eggs with cheese and avocado; Bacon and eggs with sautéed spinach; Keto smoothie with avocado, coconut milk, and protein powder","Grilled chicken Caesar salad (without croutons); Cobb salad with bacon, egg, avocado, and blue cheese dressing; Tuna salad with mixed greens and a side of olives","Grilled steak with a side of asparagus and a butter-based sauce; Baked salmon with cauliflower rice and a side of sautéed kale; Chicken thighs with a creamy mushroom sauce and a side of zucchini noodles","Cheese sticks or slices; Nuts (e.g., almonds, walnuts); Hard-boiled eggs"
Paleo,"Scrambled eggs with sautéed vegetables (e.g., spinach, bell peppers); Omelet with avocado and salsa; Smoothie with almond milk, spinach, berries, and a scoop of protein powder","Grilled chicken breast with a side of mixed greens and a homemade vinaigrette; Lettuce wrap with turkey, avocado, and tomato; Tuna salad with mixed vegetables and a side of fruit","Grilled steak with a side of roasted vegetables; Baked salmon with sweet potato and a side of steamed broccoli; Chicken stir-fry with vegetables (e.g., bell peppers, zucchini, carrots)","Nuts and seeds; Fresh fruit (e.g., apple, orange); Veggie sticks with guacamole"
Volumetrics,"Oatmeal with mixed berries and a sprinkle of nuts; Low-fat yogurt with fresh fruit and a sprinkle of granola; Whole grain toast with avocado and a poached egg","Vegetable soup with a side of whole grain bread; Salad with mixed greens, cucumbers, tomatoes, chickpeas, and a low-calorie dressing; Whole wheat wrap with lean turkey, lettuce, tomato, and mustard","Grilled chicken breast with a side of steamed vegetables and a small portion of brown rice; Stir-fried tofu with mixed vegetables and a small portion of quinoa; Baked fish with a side of roasted vegetables and a small portion of whole grain pasta","Fresh fruit (e.g., apple, orange); Air-popped popcorn; Veggie sticks with hummus"
Atkins,"Bacon and eggs with a side of avocado; Scrambled eggs with cheese and spinach; Keto smoothie with almond milk, avocado, and protein powder","Grilled chicken Caesar salad (without croutons); Turkey and cheese lettuce wraps; Tuna salad with mixed greens and a side of olives","Grilled steak with a side of sautéed mushrooms and spinach; Baked salmon with a side of steamed broccoli and cauliflower mash; Chicken thighs with a creamy sauce and a side of green beans","Cheese slices; Hard-boiled eggs; Nuts (e.g., almonds, walnuts)"
Weight Watchers,"Oatmeal with mixed berries and a drizzle of honey; Whole grain toast with peanut butter and a side of fruit; Greek yogurt with a sprinkle of granola and fresh fruit","Grilled chicken salad with mixed greens, cucumbers, and low-fat dressing; Whole grain wrap with turkey, lettuce, tomato, and mustard; Vegetable soup with a side of whole grain crackers","Baked chicken breast with a side of roasted vegetables and a small portion of brown rice; Grilled fish with quinoa and a side of steamed green beans; Stir-fried tofu with mixed vegetables and a small portion of whole grain pasta","Fresh fruit (e.g., apple, orange); Low-fat yogurt; Veggie sticks with hummus"
Low-Carb,"Scrambled eggs with cheese and a side of bacon; Greek yogurt with nuts and seeds; Keto smoothie with avocado, almond milk, and protein powder","Grilled chicken salad with mixed greens and a low-carb dressing; Tuna salad with avocado and a side of olives; Lettuce wrap with turkey, cheese, and mustard","Grilled steak with a side of sautéed spinach and mushrooms; Baked salmon with a side of cauliflower rice and steamed broccoli; Chicken thighs with a creamy sauce and a side of zucchini noodles","Cheese slices; Nuts (e.g., almonds, walnuts); Hard-boiled eggs"
Vegan,"Oatmeal with almond milk, mixed berries, and a sprinkle of nuts; Smoothie with spinach, banana, almond milk, and plant-based protein powder; Avocado toast on whole grain bread with a side of fruit","Lentil soup with a side of whole grain bread; Quinoa salad with chickpeas, cucumbers, tomatoes, and a lemon-tahini dressing; Vegan wrap with hummus, mixed veggies, and a side of fruit","Stir-fried tofu with mixed vegetables and a side of brown rice; Vegan chili with beans, tomatoes, and a side of cornbread; Baked sweet potato with black beans, avocado, and a side of steamed greens","Fresh fruit (e.g., apple, orange); Veggie sticks with hummus; Nuts and seeds"
Flexitarian,"Oatmeal with almond milk, mixed berries, and a sprinkle of nuts; Greek yogurt with a side of fruit and a sprinkle of granola; Avocado toast on whole grain bread with a poached egg","Mixed greens salad with chickpeas, cucumbers, tomatoes, and a vinaigrette dressing; Quinoa bowl with black beans, avocado, salsa, and a side of fruit; Whole grain wrap with turkey, hummus, and mixed veggies","Grilled salmon with a side of steamed vegetables and brown rice; Baked tofu with roasted vegetables and a side of quinoa; Stir-fried chicken with mixed vegetables and a side of whole grain pasta","Fresh fruit (e.g., apple, orange); Veggie sticks with hummus; Nuts and seeds"
